title,subject,type,id,family_name,given_name
August Ludwig Hülsen und der Bund der freien Männer.,Philosophie,Dissertation,b0c60de1-078b-f78c-0cbd-4d4c60f2a8a2,Flitner,Wilhelm August
Die Entstehung der langwelligen ultraroten Strahlung des Quecksilbers.,Physik,Dissertation,91874d13-bb2a-1c88-90c5-4d4c60f544fe,Kroebel,Werner Adolf Johannes
"Der Wellenanzeiger, ein spezielles Spektrometer für hochfrequente Wechselströme.",Physik,,91874d13-bb2a-1c88-90c5-4d4c60f544fe,Kroebel,Werner Adolf Johannes
,Innere Medizin,Dissertation,1fbfe6ea-0f2d-90b0-8af0-4d4c60bdb15d,Stockinger,Walter
"Zellbilder und Zellformen des Blutes, III. Mitteilung: (Die Wandlungen des Blutbildes im Verlauf natürlicher Reaktionen). ",Innere Medizin,,1fbfe6ea-0f2d-90b0-8af0-4d4c60bdb15d,Stockinger,Walter
,"Starfrecht, Strafprozess und Rechtsphilosophie",Habilitation,c32ec115-192c-cfac-2d77-4d4c60fefeb0,Kollmann,Horst
,Jura,Dissertation,c32ec115-192c-cfac-2d77-4d4c60fefeb0,Kollmann,Horst
Untersuchungen zum Entscheidungsproblem der mathematischen Logik.,Mathematik,Dissertation,a33ebc8b-9d82-20c6-c8bc-4e37f2eba562,Schütte,Kurt Wilhelm
Beweistheoretische Untersuchung der verzweigten Analysis.,Mathematik,Habilitation,a33ebc8b-9d82-20c6-c8bc-4e37f2eba562,Schütte,Kurt Wilhelm
Die Theorie der Verordnung im französischen und belgischen Verwaltungsrecht.,Rechtswissenschaften,Habilitation,2f1801f0-ad28-4b9c-2b66-4d4c60bab4fc,Holstein,Günther
,,Dissertation,2f1801f0-ad28-4b9c-2b66-4d4c60bab4fc,Holstein,Günther
Die Lehre von der öffentlich-rechtlichen Eigentumsbeschränkung.,Rechtswissenschaften,Dissertation,2f1801f0-ad28-4b9c-2b66-4d4c60bab4fc,Holstein,Günther
,Medizin,Dissertation,b3180af2-5796-f5bb-af3d-4eaa75bbf41c,Völkel,Henner
Zur Psychopathologie und Klinik der neurotischen Depression.,Psychiatrie und Neurologie,Habilitation,b3180af2-5796-f5bb-af3d-4eaa75bbf41c,Völkel,Henner
Das Unternehmen als Rechtsgegenstand. Rechtstheoretische Grundlegung.,"Bürgerliches-, Handels- und Arbeitsrecht",Habilitation,85c90547-5cc8-d7dc-2472-4e4a77bb9cd6,Brecher,Fritz Wilhelm Georg
Die Erklärung an die Oeffentlichkeit im Handelsrecht.,Jura,Dissertation,85c90547-5cc8-d7dc-2472-4e4a77bb9cd6,Brecher,Fritz Wilhelm Georg
Befestigungsmittel der partiellen Prothese,Zahnmedizin,Dissertation,b4556f8d-deb3-890a-9ceb-4e96eb9de793,Hahn,Werner Gustav Emmo
Chirurgische Eingriffe zur Erhaltung u. Verbesserung von Form u. Funktion am knöchernen Unterkiefer,Medizin,Dissertation,b4556f8d-deb3-890a-9ceb-4e96eb9de793,Hahn,Werner Gustav Emmo
Erfahrungen und Möglichkeiten in der chirurgischen Behandlung erworbener u. angeborener Defekte im Kiefer- u. Gesichtsbereich,"Zahn-, Mund- und Kieferkrankheiten",Habilitation,b4556f8d-deb3-890a-9ceb-4e96eb9de793,Hahn,Werner Gustav Emmo
Das Religionsproblem im neueren Drama von Lessing bis zur Romantik.,Germanistik,,ba1ff21d-a96b-cae3-2ecc-4d4c606ac8f7,Liepe,Wolfgang
"Elisabeth von Nassau-Saarbrücken, Entstehunh und Anfänge des Prosaromans in Deutschland.",Germanistik,Habilitation,ba1ff21d-a96b-cae3-2ecc-4d4c606ac8f7,Liepe,Wolfgang
Die Gesellschaftswissenschaft.,,Habilitation,df27d105-c3c8-f622-cc28-4d875809945f,von Treitschke,Heinrich Gotthard
Productivität der Arbeit.,Kameralwissenschaft,Dissertation,df27d105-c3c8-f622-cc28-4d875809945f,von Treitschke,Heinrich Gotthard
Über Äthylmethylxanthin,Medizin,Dissertation,1c86fd3b-4a04-ef3f-2dfb-4d4c60a8f464,Birk,Walter Adolf Christian
Untersuchungen über den Stoffwechsel des neugeborenen Kindes,Pädiatrie,Habilitation,1c86fd3b-4a04-ef3f-2dfb-4d4c60a8f464,Birk,Walter Adolf Christian
,,Dissertation,a1ebbd72-fd3f-433c-a93b-8679bc0ac9d7,Küster,Ernst
,,Habilitation,a1ebbd72-fd3f-433c-a93b-8679bc0ac9d7,Küster,Ernst
,,,a1ebbd72-fd3f-433c-a93b-8679bc0ac9d7,Küster,Ernst
Die Fresken des Palastes,Archäologie,Habilitation,c6fe8e0d-ae00-4566-a1fe-df8e0766acf1,Rodenwaldt,Gerhart Martin Karl
,,Dissertation,c6fe8e0d-ae00-4566-a1fe-df8e0766acf1,Rodenwaldt,Gerhart Martin Karl
Untersuchungen zur Römischen Reichsprägung des 2. Jahrhunderts. Teil 2: Die Reichsprägung zur Zeit des Hadrian.,Alte Geschichte,Habilitation,a9a6afca-9d7d-bed6-4a78-4d4c6090222e,Strack,Paul Richard Leberecht
Untersuchungen zur Römischen Reichsprägung des 2. Jahrhunderts. Teil 1: Die Reichsprägung zur Zeit des Traian.,Alte Geschichte,,a9a6afca-9d7d-bed6-4a78-4d4c6090222e,Strack,Paul Richard Leberecht
Die Wirtschaftsaufsicht.,Öffentliches Recht,Habilitation,c6ae1b48-dcd4-670a-051c-4e5cc603eae3,Stein,Ekkehart
Die Bindung des Richters an Recht und Gesetz.,Rechtswissenschaften,Dissertation,c6ae1b48-dcd4-670a-051c-4e5cc603eae3,Stein,Ekkehart
Der Einfluss der Nebennieren-Corticoide auf die entzündlichen Reaktionen des Auges. Ein Beitrag zur Therapie und Pathogenese entzündlicher Augenerkrankungen.,Augenmedizin,Habilitation,d287d3fb-f5ac-ef86-2707-4d4c6063bcac,Böke,Wilhelm Friedrich Rudolf
Ein Beitrag zum pathologisch-anatomischen Bild der Milzblutungscysten.,Medizin,Dissertation,d287d3fb-f5ac-ef86-2707-4d4c6063bcac,Böke,Wilhelm Friedrich Rudolf
Hegel als Denker der Individualität,Philosophie,Habilitation,75147cc6-763e-e07c-62b6-4d4c60580dc4,Schmitz,Hermann
Goethes Altersdenken in Begriff und Symbol,Philosophie,Dissertation,75147cc6-763e-e07c-62b6-4d4c60580dc4,Schmitz,Hermann
